contract,sky,date
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-17
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-17
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-17
0x173a1c04b79ed9266721c1154daa29addc0b9558,2501775972.2513556,2025-06-16
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2104813493.0715077,2025-06-16
0xfc48fbca739079aab08216c4d5e506b96593753d,952232903.4424303,2025-06-16
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,382365360.8875232,2025-06-16
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30826616.721488718,2025-06-16
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28826320.291612122,2025-06-16
0x555230eca835a808518ec3ea3082f05502bab850,16912413.847271655,2025-06-16
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3681883.444122377,2025-06-16
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-16
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-16
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-16
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-16
0x173a1c04b79ed9266721c1154daa29addc0b9558,2498745330.9336615,2025-06-15
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2100774903.1956778,2025-06-15
0xfc48fbca739079aab08216c4d5e506b96593753d,952170372.8111782,2025-06-15
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,380534381.6341338,2025-06-15
0x555230eca835a808518ec3ea3082f05502bab850,37742872.41803696,2025-06-15
0xe01684b17df0abbdaf97839277b194be4e1a7e79,30861262.70897231,2025-06-15
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28826320.291612122,2025-06-15
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3491416.271866281,2025-06-15
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-15
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-15
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-15
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-15
0x173a1c04b79ed9266721c1154daa29addc0b9558,2499652121.659749,2025-06-14
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2100421314.4241414,2025-06-14
0xfc48fbca739079aab08216c4d5e506b96593753d,952157241.2766982,2025-06-14
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,380524395.688416,2025-06-14
0x555230eca835a808518ec3ea3082f05502bab850,37742872.41803696,2025-06-14
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,28824411.686647385,2025-06-14
0xe01684b17df0abbdaf97839277b194be4e1a7e79,28397133.04913821,2025-06-14
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,3483665.2364130327,2025-06-14
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-14
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-14
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-14
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-14
0x173a1c04b79ed9266721c1154daa29addc0b9558,2498233125.733573,2025-06-13
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2099363321.8548248,2025-06-13
0xfc48fbca739079aab08216c4d5e506b96593753d,952021180.4892609,2025-06-13
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,380522433.504576,2025-06-13
0x555230eca835a808518ec3ea3082f05502bab850,37620433.97280374,2025-06-13
0xe01684b17df0abbdaf97839277b194be4e1a7e79,28334958.355138212,2025-06-13
0x4bed44a9839b8778f69bb6a6d9f843414377ae90,26345691.686647385,2025-06-13
0xff7615e05ec1c8d5ded24ab50bf74432666bee2f,5938385.236413033,2025-06-13
0xead02d18529c10eedd995f760fdf5e380ddf3da6,3325338.3516878346,2025-06-13
0xd260762e442ea1893e5ed5e7d28984e19aafbf5e,334162.77911151556,2025-06-13
0x5d4a96afadb5505a8ff21ddeca2baf3a63301396,0.0,2025-06-13
0x2c89024c13a80bc1b662a3db990524652c15221c,0.0,2025-06-13
0x173a1c04b79ed9266721c1154daa29addc0b9558,2494689864.5085955,2025-06-12
0x0f23de72e1581857eacd6308aebb69cf3a49cc86,2102997112.7965615,2025-06-12
0xfc48fbca739079aab08216c4d5e506b96593753d,951699212.0853577,2025-06-12
0x550e5ec00b9d26a3517ce772ddfe73e8ed1672ad,380522433.504576,2025-06-12
